1239	1140	1783272	1	6
1117	1140	1117	0	5
200783	1140	2	1	7
1117	1140	1117	0	5
1117	1140	1117	0	5
1117	1140	1117	0	5
1117	1140	1117	0	5
28890	1140	131567	2	8
1117	1140	1117	0	5
1224	1140	2	1	7
1117	1140	1117	0	5
1117	1140	1117	0	5
1117	1140	1117	0	5
1117	1140	1117	0	5
1117	1140	1117	0	5
1117	1140	1117	0	5
1297	279238	2	2	7
1224	279238	1224	0	6
1239	279238	2	2	7
33154	279238	131567	2	8
1224	279238	1224	0	6
1224	279238	1224	0	6
201174	279238	2	2	7
1239	279238	2	2	7
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
200795	279238	2	2	7
1224	279238	1224	0	6
1224	279238	1224	0	6
33154	279238	131567	2	8
1224	279238	1224	0	6
201174	279238	2	2	7
33154	279238	131567	2	8
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
28890	279238	131567	2	8
2759	279238	131567	1	8
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
131567	279238	131567	0	8
1224	279238	1224	0	6
201174	279238	2	2	7
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
2	279238	2	0	7
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1117	279238	2	2	7
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
200918	279238	2	1	7
33154	279238	131567	2	8
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
33154	279238	131567	2	8
1224	279238	1224	0	6
2	279238	2	0	7
201174	279238	2	2	7
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
33154	279238	131567	2	8
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
33154	279238	131567	2	8
1224	279238	1224	0	6
33090	279238	131567	2	8
1224	279238	1224	0	6
33154	279238	131567	2	8
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1224	279238	1224	0	6
1239	279238	2	2	7
1224	279238	1224	0	6
1239	279238	2	2	7
1224	279238	1224	0	6
