/scratch/gi/studprj/metaclassify/data_sets//PhymmBL/res/scientific_names.txt

Methanococcoides burtonii
Methanococcus aeolicus
Methanococcus maripaludis
Methanococcus vannielii
Methanocorpusculum labreanum
Methanoculleus marisnigri
Methanopyrus kandleri
Methanoregula boonei
Methanosaeta thermophila
Methanosarcina acetivorans
Methanosarcina barkeri
Methanosarcina mazei
Methanosphaera stadtmanae
Methanospirillum hungatei
Methanothermobacter thermautotrophicus
Methylacidiphilum infernorum
Methylibium petroleiphilum
Methylobacillus flagellatus
Methylobacterium extorquens
Methylobacterium populi
Methylobacterium radiotolerans
Methylobacterium sp.
Methylococcus capsulatus
Microcystis aeruginosa
Moorella thermoacetica
Mycobacterium abscessus
Mycobacterium avium
Mycobacterium bovis
Mycobacterium gilvum
Mycobacterium leprae
Mycobacterium marinum
Mycobacterium smegmatis
Mycobacterium sp.
Mycobacterium tuberculosis
Mycobacterium ulcerans
Mycobacterium vanbaalenii
Mycoplasma agalactiae
Mycoplasma arthritidis
Mycoplasma capricolum
Mycoplasma gallisepticum
Mycoplasma genitalium
Mycoplasma hyopneumoniae
Mycoplasma mobile
Mycoplasma mycoides
Mycoplasma penetrans
Mycoplasma pneumoniae
Mycoplasma pulmonis
Mycoplasma synoviae
Myxococcus xanthus
Nanoarchaeum equitans
Natranaerobius thermophilus
Natronomonas pharaonis
Neisseria gonorrhoeae
Neisseria meningitidis
Neorickettsia sennetsu
Nitratiruptor sp.
Nitrobacter hamburgensis
Nitrobacter winogradskyi
Nitrosococcus oceani
Nitrosomonas europaea
Nitrosomonas eutropha
Nitrosopumilus maritimus
Nitrosospira multiformis
Nocardia farcinica
Nocardioides sp.
Nostoc punctiforme
Nostoc sp.
Novosphingobium aromaticivorans
Oceanobacillus iheyensis
Ochrobactrum anthropi
Oenococcus oeni
Oligotropha carboxidovorans
Onion yellows
Opitutus terrae
Orientia tsutsugamushi
Parabacteroides distasonis
Paracoccus denitrificans
Parvibaculum lavamentivorans
Pasteurella multocida
Pectobacterium atrosepticum
Pediococcus pentosaceus
Pelobacter carbinolicus
Pelobacter propionicus
Pelodictyon phaeoclathratiforme
Pelotomaculum thermopropionicum
Petrotoga mobilis
Phenylobacterium zucineum
Photobacterium profundum
Photorhabdus luminescens
Picrophilus torridus
Polaromonas naphthalenivorans
Polaromonas sp.
Polynucleobacter necessarius
Porphyromonas gingivalis
Prochlorococcus marinus
Propionibacterium acnes
Prosthecochloris aestuarii
Proteus mirabilis
Pseudoalteromonas atlantica
Pseudoalteromonas haloplanktis
Pseudomonas aeruginosa
Pseudomonas entomophila
Pseudomonas fluorescens
Pseudomonas mendocina
Pseudomonas putida
Pseudomonas stutzeri
Pseudomonas syringae
Psychrobacter arcticus
Psychrobacter cryohalolentis
Psychrobacter sp.
Psychromonas ingrahamii
Pyrobaculum aerophilum
Pyrobaculum arsenaticum
Pyrobaculum calidifontis
Pyrobaculum islandicum
Pyrococcus abyssi
Pyrococcus furiosus
Pyrococcus horikoshii
Ralstonia eutropha
Ralstonia pickettii
Ralstonia solanacearum
Renibacterium salmoninarum
Rhizobium etli
Rhizobium leguminosarum
