NC_005241	Rhizobium_etli_CFN_42
NC_010471	Burkholderia_ambifaria_MC40_6
NC_009636	Sphingomonas_wittichii_RW1
NC_009480	Clavibacter_michiganensis_subsp._michiganensis_NCPPB_382
NC_010622	Candidatus_Amoebophilus_asiaticus_5a2
NC_005232	Shewanella_sp._MR_7
NC_008765	Anabaena_variabilis_ATCC_29413
NC_010627	Pelodictyon_phaeoclathratiforme_BU_1
NC_008319	Ochrobactrum_anthropi_ATCC_49188
NC_008150	Xanthomonas_oryzae_pv._oryzae_PXO99A
NC_008379	Rhodopseudomonas_palustris_CGA009
NC_007413	Azoarcus_sp._BH72
NC_008271	Nocardia_farcinica_IFM_10152
NC_003030	Methanosphaera_stadtmanae_DSM_3091
NC_010617	Halobacterium_sp._NRC_1
NC_006138	Desulfococcus_oleovorans_Hxd3
NC_008533	Streptococcus_thermophilus_LMD_9
NC_003062	Arcobacter_butzleri_RM4018
NC_009515	Borrelia_afzelii_PKo
NC_010483	Borrelia_burgdorferi_B31
NC_004917	Thermococcus_kodakarensis_KOD1
NC_011060	Campylobacter_concisus_13826
NC_009328	Brucella_ovis_ATCC_25840
NC_008061	Burkholderia_cenocepacia_AU_1054
NC_007516	Salinibacter_ruber_DSM_13855
NC_010804	Burkholderia_multivorans_ATCC_17616
NC_007947	Lawsonia_intracellularis_PHE_MN1_00
NC_011498	Legionella_pneumophila_str._Corby
NC_010263	Salmonella_enterica_subsp._enterica_serovar_Typhi_str._Ty2
NC_009671	Nitrobacter_hamburgensis_X14
NC_006933	Brucella_abortus_bv._1_str._9_941
NC_011296	Mycoplasma_genitalium_G37
NC_009882	Shewanella_baltica_OS155
NC_010572	Nostoc_punctiforme_PCC_73102
NC_009616	Burkholderia_vietnamiensis_G4
NC_009621	Burkholderia_vietnamiensis_G4
NC_003210	Mycobacterium_tuberculosis_H37Rv
NC_004310	Brucella_suis_1330
NC_007530	Bacillus_anthracis_str.__Ames_Ancestor_
NC_007275	Rhizobium_leguminosarum_bv._trifolii_WSM2304
NC_010657	Staphylococcus_aureus_subsp._aureus_MRSA252
NC_005813	Tropheryma_whipplei_TW08_27
NC_008435	Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476
NC_009780	Streptomyces_avermitilis_MA_4680
NC_010844	Pseudomonas_putida_KT2440
NC_008120	Xanthomonas_campestris_pv._campestris_str._8004
NC_008570	Anaplasma_marginale_str._St._Maries
NC_009699	Clostridium_botulinum_F_str._Langeland
NC_009926	Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966
NC_010530	Erwinia_tasmaniensis_Et1_99
NC_009848	Methanocaldococcus_jannaschii_DSM_2661
NC_010528	Erwinia_tasmaniensis_Et1_99
NC_011229	Rickettsia_massiliae_MTU5
NC_009040	Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853
NC_007513	Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18
NC_007412	Arthrobacter_aurescens_TC1
NC_009976	Pseudomonas_syringae_pv._tomato_str._DC3000
NC_003910	Xanthomonas_axonopodis_pv._citri_str._306
NC_003131	Streptococcus_pyogenes_MGAS9429
NC_005139	Acaryochloris_marina_MBIC11017
NC_010085	Rickettsia_felis_URRWXCal2
NC_010503	Burkholderia_phymatum_STM815
NC_010698	Legionella_pneumophila_str._Paris
NC_008390	Lactobacillus_salivarius_UCC118
NC_001263	Caulobacter_sp._K31
NC_002578	Symbiobacterium_thermophilum_IAM_14863
NC_007954	Cupriavidus_metallidurans_CH34
NC_009879	Thermotoga_maritima_MSB8
NC_008696	Ochrobactrum_anthropi_ATCC_49188
NC_008277	Clostridium_beijerinckii_NCIMB_8052
NC_002506	Legionella_pneumophila_str._Lens
NC_006270	Bacillus_licheniformis_ATCC_14580
NC_008686	Bradyrhizobium_sp._ORS_278
NC_002947	Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986
NC_007507	Vibrio_fischeri_MJ11
NC_005295	Ehrlichia_ruminantium_str._Welgevonden
NC_009788	Escherichia_coli_E24377A
NC_009464	Haloarcula_marismortui_ATCC_43049
NC_010161	Cupriavidus_taiwanensis_LMG_19424
NC_009436	Burkholderia_ambifaria_AMMD
NC_010376	Bacillus_weihenstephanensis_KBAB4
NC_008942	Clostridium_thermocellum_ATCC_27405
NC_007798	Nanoarchaeum_equitans_Kin4_M
NC_009053	Actinobacillus_pleuropneumoniae_serovar_5b_str._L20
NC_009227	Candidatus_Vesicomyosocius_okutanii_HA
NC_006086	Yersinia_pseudotuberculosis_IP_31758
NC_011047	Halobacterium_sp._NRC_1
NC_009049	Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._P125109
NC_011145	Bradyrhizobium_japonicum_USDA_110
NC_010676	Hahella_chejuensis_KCTC_2396
NC_009012	Methanoculleus_marisnigri_JR1
NC_011369	Rhodobacter_sphaeroides_ATCC_17029
NC_008545	Burkholderia_cenocepacia_HI2424
NC_008340	Arthrobacter_sp._FB24
NC_001869	Streptococcus_gordonii_str._Challis_substr._CH1
NC_010846	Mycobacterium_bovis_AF2122_97
NC_009954	Bordetella_avium_197N
NC_011282	Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1
NC_007333	Mycoplasma_capricolum_subsp._capricolum_ATCC_27343
NC_008786	Nocardioides_sp._JS614
NC_008757	Nocardioides_sp._JS614
NC_009455	Clostridium_difficile_630
NC_007296	Yersinia_pseudotuberculosis_YPIII
NC_009634	Polaromonas_sp._JS666
NC_010380	Synechococcus_elongatus_PCC_6301
NC_008380	Rhodopseudomonas_palustris_BisB5
NC_011027	Chloroherpeton_thalassium_ATCC_35110
NC_010682	Methanoregula_boonei_6A8
NC_008710	Halobacterium_sp._NRC_1
NC_008791	Vibrio_harveyi_ATCC_BAA_1116
NC_010407	Clavibacter_michiganensis_subsp._sepedonicus
NC_006823	Candidatus_Blochmannia_floridanus
NC_007778	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._AKU_12601
NC_008761	Methylibium_petroleiphilum_PM1
NC_004337	Stenotrophomonas_maltophilia_R551_3
NC_007618	Brucella_melitensis_biovar_Abortus_2308
NC_007595	Yersinia_pestis_Pestoides_F
NC_000922	Chlamydophila_pneumoniae_CWL029
NC_009051	Xanthobacter_autotrophicus_Py2
NC_007762	Rhizobium_leguminosarum_bv._viciae_3841
NC_003361	Candidatus_Ruthia_magnifica_str._Cm__Calyptogena_magnifica_
NC_005072	Pseudomonas_syringae_pv._syringae_B728a
NC_010793	Pseudomonas_fluorescens_Pf_5
NC_004041	Rhodobacter_sphaeroides_2.4.1
NC_007348	Rhizobium_leguminosarum_bv._viciae_3841
NC_006393	Synechocystis_sp._PCC_6803
NC_002163	Campylobacter_jejuni_subsp._jejuni_NCTC_11168
NC_010371	Bacillus_weihenstephanensis_KBAB4
NC_010468	Escherichia_coli_ATCC_8739
NC_006365	Methanococcus_maripaludis_C7
NC_006156	Verminephrobacter_eiseniae_EF01_2
NC_008313	Rhizobium_etli_CFN_42
NC_011375	Yersinia_pestis_Antiqua
NC_009952	Methanopyrus_kandleri_AV19
NC_008553	Dinoroseobacter_shibae_DFL_12
NC_007492	Rhizobium_etli_CIAT_652
NC_005140	Acaryochloris_marina_MBIC11017
NC_005773	Rhizobium_etli_CIAT_652
NC_009475	Shewanella_putrefaciens_CN_32
NC_000918	Borrelia_burgdorferi_B31
NC_011370	Rhodobacter_sphaeroides_ATCC_17025
NC_001857	Chlamydophila_abortus_S26_3
NC_007494	Salmonella_enterica_subsp._enterica_serovar_Choleraesuis_str._SC_B67
NC_010175	Synechococcus_sp._PCC_7002
NC_002528	Buchnera_aphidicola_str._APS__Acyrthosiphon_pisum_
NC_009092	Bacillus_amyloliquefaciens_FZB42
NC_005230	Shewanella_sp._MR_4
NC_006510	Gluconobacter_oxydans_621H
